School District,Writing,Reading,Math,Citizenship,Science,All
Indian Hill,95,98,89,95,91,83
Wyoming,98,96,86,93,87,81
Mason City,96,92,85,94,86,72
Madiera,94,95,88,82,88,69
Mariemont,99,92,74,89,88,68
Sycamore,85,88,80,87,84,68
Forest Hills,93,91,73,85,88,67
Kings Local,92,86,78,82,78,64
Lakota,90,88,73,85,81,64
Loveland,85,93,72,86,86,61
Southwest,92,82,73,78,73,58
Fairf ield,90,86,71,83,77,57
Oak Hills,88,86,75,77,79,57
Three Rivers,87,85,66,84,77,56
Milford,82,86,72,82,76,53
Ross,84,85,66,75,78,52
West Clermont,88,83,63,73,70,48
Reading,88,80,58,76,75,46
Princeton,83,75,59,76,63,46
Finneytown,79,71,61,67,62,45
Norwood,86,77,64,75,67,44
Lockland,88,79,52,82,64,41
Franklin City,85,79,49,70,67,40
Winton Woods,82,77,55,65,59,40
Northwest,75,74,51,62,61,38
North College Hill,77,76,50,66,57,35
Mount Healthy,87,72,40,62,53,32
Felicity Franklin,52,64,52,81,64,28
St. Bernard,81,59,40,41,48,26
Deer Park,69,66,40,43,52,25
Cincinnati Public,63,59,35,50,44,23
